,date,fips,cases,deaths,people_fully_vaccinated,daily_new_fully_vaccinated,daily_new_cases,daily_new_deaths,new_cases_shift,3_month_immunity_est,6_month_immunity_est
0,2020-01-21,53,1,0,0.0,0.0,1,0,0,0.0,0.0
1,2020-01-22,53,1,0,0.0,0.0,0,0,0,0.0,0.0
2,2020-01-23,53,1,0,0.0,0.0,0,0,0,0.0,0.0
3,2020-01-24,70,2,0,0.0,0.0,1,0,0,0.0,0.0
4,2020-01-25,76,3,0,0.0,0.0,1,0,0,0.0,0.0
5,2020-01-26,80,5,0,0.0,0.0,2,0,0,0.0,0.0
6,2020-01-27,80,5,0,0.0,0.0,0,0,0,0.0,0.0
7,2020-01-28,80,5,0,0.0,0.0,0,0,0,0.0,0.0
8,2020-01-29,80,5,0,0.0,0.0,0,0,0,0.0,0.0
9,2020-01-30,80,6,0,0.0,0.0,1,0,0,0.0,0.0
10,2020-01-31,80,7,0,0.0,0.0,1,0,0,0.0,0.0
11,2020-02-01,105,8,0,0.0,0.0,1,0,0,0.0,0.0
12,2020-02-02,105,11,0,0.0,0.0,3,0,0,0.0,0.0
13,2020-02-03,105,11,0,0.0,0.0,0,0,0,0.0,0.0
14,2020-02-04,105,11,0,0.0,0.0,0,0,1,0.0,0.0
15,2020-02-05,160,12,0,0.0,0.0,1,0,0,0.0,0.0
16,2020-02-06,160,12,0,0.0,0.0,0,0,0,0.0,0.0
17,2020-02-07,160,12,0,0.0,0.0,0,0,1,0.0,0.0
18,2020-02-08,160,12,0,0.0,0.0,0,0,1,0.0,0.0
19,2020-02-09,160,12,0,0.0,0.0,0,0,2,0.0,0.0
20,2020-02-10,160,13,0,0.0,0.0,1,0,0,0.0,0.0
21,2020-02-11,160,13,0,0.0,0.0,0,0,0,0.0,0.0
22,2020-02-12,208,14,0,0.0,0.0,1,0,0,0.0,0.0
23,2020-02-13,208,15,0,0.0,0.0,1,0,1,0.0,0.0
24,2020-02-14,208,15,0,0.0,0.0,0,0,1,0.0,0.0
25,2020-02-15,208,15,0,0.0,0.0,0,0,1,0.0,0.0
26,2020-02-16,208,15,0,0.0,0.0,0,0,3,0.0,0.0
27,2020-02-17,239,25,0,0.0,0.0,10,0,0,0.0,0.0
28,2020-02-18,239,25,0,0.0,0.0,0,0,0,0.0,0.0
29,2020-02-19,239,25,0,0.0,0.0,0,0,1,0.0,0.0
30,2020-02-20,239,27,0,0.0,0.0,2,0,0,0.0,0.0
31,2020-02-21,239,30,0,0.0,0.0,3,0,0,0.0,0.0
32,2020-02-22,239,30,0,0.0,0.0,0,0,0,0.0,0.0
33,2020-02-23,239,30,0,0.0,0.0,0,0,0,0.0,0.0
34,2020-02-24,239,43,0,0.0,0.0,13,0,1,0.0,0.0
35,2020-02-25,288,45,0,0.0,0.0,2,0,0,0.0,0.0
36,2020-02-26,288,60,0,0.0,0.0,15,0,1,0.0,0.0
37,2020-02-27,288,60,0,0.0,0.0,0,0,1,0.0,0.0
38,2020-02-28,329,65,0,0.0,0.0,5,0,0,0.0,0.0
39,2020-02-29,329,70,1,0.0,0.0,5,1,0,0.0,0.0
40,2020-03-01,421,88,3,0.0,0.0,18,2,0,0.0,0.0
41,2020-03-02,467,104,6,0.0,0.0,16,3,10,0.0,0.0
42,2020-03-03,504,125,10,0.0,0.0,21,4,0,0.0,0.0
43,2020-03-04,538,161,12,0.0,0.0,36,2,0,0.0,0.0
44,2020-03-05,649,228,12,0.0,0.0,67,0,2,0.0,0.0
45,2020-03-06,857,311,15,0.0,0.0,83,3,3,0.0,0.0
46,2020-03-07,1018,428,19,0.0,0.0,117,4,0,0.0,0.0
47,2020-03-08,1046,547,22,0.0,0.0,119,3,0,0.0,0.0
48,2020-03-09,1107,748,26,0.0,0.0,201,4,13,0.0,0.0
49,2020-03-10,1179,1018,31,0.0,0.0,270,5,2,0.0,0.0
50,2020-03-11,1351,1263,37,0.0,0.0,245,6,15,0.0,0.0
51,2020-03-12,1376,1668,43,0.0,0.0,405,6,0,0.0,0.0
52,2020-03-13,1495,2224,50,0.0,0.0,556,7,5,0.0,0.0
53,2020-03-14,1573,2898,60,0.0,0.0,674,10,5,0.0,0.0
54,2020-03-15,1639,3600,68,0.0,0.0,702,8,18,0.0,0.0
55,2020-03-16,1639,4507,91,0.0,0.0,907,23,16,0.0,0.0
56,2020-03-17,1693,5906,117,0.0,0.0,1399,26,21,0.0,0.0
57,2020-03-18,1693,8350,162,0.0,0.0,2444,45,36,0.0,0.0
58,2020-03-19,1693,12393,212,0.0,0.0,4043,50,67,0.0,0.0
59,2020-03-20,1693,18012,277,0.0,0.0,5619,65,83,0.0,0.0
60,2020-03-21,1693,24528,360,0.0,0.0,6516,83,117,0.0,0.0
61,2020-03-22,1693,33073,458,0.0,0.0,8545,98,119,0.0,0.0
62,2020-03-23,1693,43505,579,0.0,0.0,10432,121,201,0.0,0.0
63,2020-03-24,1693,53938,785,0.0,0.0,10433,206,270,0.0,0.0
64,2020-03-25,1693,68572,1054,0.0,0.0,14634,269,245,0.0,0.0
65,2020-03-26,1693,85570,1353,0.0,0.0,16998,299,405,0.0,0.0
66,2020-03-27,1693,102900,1770,0.0,0.0,17330,417,556,0.0,0.0
67,2020-03-28,1762,123966,2300,0.0,0.0,21066,530,674,0.0,0.0
68,2020-03-29,1762,142486,2718,0.0,0.0,18520,418,702,0.0,0.0
69,2020-03-30,1762,163955,3368,0.0,0.0,21469,650,907,0.0,0.0
70,2020-03-31,1762,188461,4304,0.0,0.0,24506,936,1399,0.0,0.0
71,2020-04-01,1762,215391,5325,0.0,0.0,26930,1021,2444,0.0,0.0
72,2020-04-02,1762,245108,6541,0.0,0.0,29717,1216,4043,0.0,0.0
73,2020-04-03,1762,277426,7932,0.0,0.0,32318,1391,5619,0.0,0.0
74,2020-04-04,1762,312525,9488,0.0,0.0,35099,1556,6516,0.0,0.0
75,2020-04-05,1762,338141,10856,0.0,0.0,25616,1368,8545,0.0,0.0
76,2020-04-06,1762,369057,12382,0.0,0.0,30916,1526,10432,0.0,0.0
77,2020-04-07,1762,399394,14616,0.0,0.0,30337,2234,10433,0.0,0.0
78,2020-04-08,1762,431214,16701,0.0,0.0,31820,2085,14634,0.0,0.0
79,2020-04-09,1762,465913,18821,0.0,0.0,34699,2120,16998,0.0,0.0
80,2020-04-10,1762,499386,21084,0.0,0.0,33473,2263,17330,0.0,0.0
81,2020-04-11,1762,531106,23168,0.0,0.0,31720,2084,21066,0.0,0.0
82,2020-04-12,1762,558249,24849,0.0,0.0,27143,1681,18520,0.0,0.0
83,2020-04-13,1762,584018,26613,0.0,0.0,25769,1764,21469,0.0,0.0
84,2020-04-14,1762,610709,29318,0.0,0.0,26691,2705,24506,0.0,0.0
85,2020-04-15,1762,640742,32070,0.0,0.0,30033,2752,26930,0.0,0.0
86,2020-04-16,1762,672355,34419,0.0,0.0,31613,2349,29717,0.0,0.0
87,2020-04-17,1762,703864,36708,0.0,0.0,31509,2289,32318,0.0,0.0
88,2020-04-18,1762,732262,38659,0.0,0.0,28398,1951,35099,0.0,0.0
89,2020-04-19,1762,757596,40179,0.0,0.0,25334,1520,25616,338141.0,0.0
90,2020-04-20,1762,784991,42016,0.0,0.0,27395,1837,30916,369057.0,0.0
91,2020-04-21,1762,810505,44688,0.0,0.0,25514,2672,30337,399394.0,0.0
92,2020-04-22,1762,839336,47059,0.0,0.0,28831,2371,31820,431214.0,0.0
93,2020-04-23,1762,873112,49228,0.0,0.0,33776,2169,34699,465913.0,0.0
94,2020-04-24,1762,909853,51360,0.0,0.0,36741,2132,33473,499386.0,0.0
95,2020-04-25,1762,944261,53327,0.0,0.0,34408,1967,31720,531106.0,0.0
96,2020-04-26,1762,970996,54580,0.0,0.0,26735,1253,27143,558249.0,0.0
